S.No,Title,Link
1,Helm local code execution via a malicious chart – CVE-2025-53547,https://github.com/helm/helm/security/advisories/GHSA-557j-xg8c-q2mm
2,RapidRAW: A non-destructive and GPU-accelerated RAW image editor,https://github.com/CyberTimon/RapidRAW
3,Bootstrapping a side project into a profitable seven-figure business,https://projectionlab.com/blog/we-reached-1m-arr-with-zero-funding
4,7-Zip for Windows can now use more than 64 CPU threads for compression,https://www.7-zip.org/history.txt
5,Breaking Git with a carriage return and cloning RCE,https://dgl.cx/2025/07/git-clone-submodule-cve-2025-48384
6,"Frame of preference A history of Mac settings, 1984–2004",https://aresluna.org/frame-of-preference/
7,Supabase MCP can leak your entire SQL database,https://www.generalanalysis.com/blog/supabase-mcp-blog
8,"Smollm3: Smol, multilingual, long-context reasoner LLM",https://huggingface.co/blog/smollm3
9,I'm Building LLM for Satellite Data EarthGPT.app,https://www.earthgpt.app/
10,US Court nullifies FTC requirement for click-to-cancel,https://arstechnica.com/tech-policy/2025/07/us-court-cancels-ftc-rule-that-would-have-made-canceling-subscriptions-easier/
11,Comparing the Climate and Productivity Impacts of a Shrinking Population,https://www.nber.org/papers/w33932
12,Radium Music Editor,http://users.notam02.no/~kjetism/radium/
13,Brut: A New Web Framework for Ruby,https://naildrivin5.com/blog/2025/07/08/brut-a-new-web-framework-for-ruby.html
14,Where can I see Hokusai's Great Wave today?,https://greatwavetoday.com/
15,Surfing on a Matchbox (1999),http://news.bbc.co.uk/2/hi/science/nature/276762.stm
16,Libpostal: C library for parsing/normalizing street addresses around the world,https://github.com/openvenues/libpostal
17,"Dynamical origin of Theia, the last giant impactor on Earth",https://arxiv.org/abs/2507.01826
18,Show HN: OffChess – Offline chess puzzles app,https://offchess.com
19,Swahili on the Road,https://www.historytoday.com/archive/behind-times/swahili-road
20,Taking over 60k spyware user accounts with SQL injection,https://ericdaigle.ca/posts/taking-over-60k-spyware-user-accounts/
21,Xenharmlib: A music theory library that supports non-western harmonic systems,https://xenharmlib.readthedocs.io/en/latest/
22,iPod Linux – Linux for Your iPod,http://www.ipodlinux.org/
23,Choosing a Database Schema for Polymorphic Data (2024),https://www.dolthub.com/blog/2024-06-25-polymorphic-associations/
24,Plants monitor the integrity of their barrier by sensing gas diffusion,https://www.nature.com/articles/s41586-025-09223-4
25,New Horizons images enable first test of interstellar navigation,https://www.newscientist.com/article/2486823-new-horizons-images-enable-first-test-of-interstellar-navigation/
26,Can an email go 500 miles in 2025?,https://flak.tedunangst.com/post/can-an-email-go-500-miles-in-2025
27,GlobalFoundries to Acquire MIPS,https://mips.com/press-releases/gf-mips/
28,Blind to Disruption – The CEOs Who Missed the Future,https://steveblank.com/2025/07/08/blind-to-disruption-the-ceos-who-missed-the-future/
29,Bulgaria to join euro area on 1 January 2026,https://www.ecb.europa.eu//press/pr/date/2025/html/ecb.pr250708~b9676a9fa8.en.html
30,"Show HN: A rain Pomodoro with brown noise, ASMR, and Middle Eastern music",https://forgetoolz.com/rain-pomodoro
31,"Show HN: A rain Pomodoro with brown noise, ASMR, and Middle Eastern music",https://forgetoolz.com/rain-pomodoro
32,Ceramic: A cross-platform and open-source 2D framework in Haxe,https://ceramic-engine.com/
33,Rules of good writing (2007),https://dilbertblog.typepad.com/the_dilbert_blog/2007/06/the_day_you_bec.html
34,At the frontier between two lives–the evolutionary origins of pregnancy,https://phys.org/news/2025-07-frontier-evolutionary-pregnancy.html
35,New sphere-packing record stems from an unexpected source,https://www.quantamagazine.org/new-sphere-packing-record-stems-from-an-unexpected-source-20250707/
36,The Tradeoffs of SSMs and Transformers,https://goombalab.github.io/blog/2025/tradeoffs/
37,SVGs that feel like GIFs,https://koaning.io/posts/svg-gifs/
38,Zorin OS,https://zorin.com/os/
39,"Phrase origin: Why do we ""call"" functions?",https://quuxplusone.github.io/blog/2025/04/04/etymology-of-call/
40,What goes wrong when we write ghazals in English,https://www.theparisreview.org/blog/2025/06/24/what-goes-wrong-when-we-write-ghazals-in-english/
41,Attimet (YC F24) – Quant Trading Research Lab – Is Hiring Founding Researcher,https://www.ycombinator.com/companies/attimet/jobs/6LaQIc5-founding-researcher-quant
42,Starfront Observatories: a networked astrophotography telescope colo,https://starfront.space/page//
43,On The Meaning of Ritual,https://alicemaz.substack.com/p/on-the-meaning-of-ritual
44,"Show HN: Jukebox – Free, Open Source Group Playlist with Fair Queueing",https://www.jukeboxhq.com/
45,Epanet-JS,https://macwright.com/2025/07/03/epanet-placemark
46,Ask HN: What Problem Would You Solve with Unlimited Resources?,item?id=44506493
47,Berry Script: lightweight embedded scripting language for microcontrollers,https://berry-lang.github.io/
48,Particle Lenia Deluxe Edition,https://www.craftlinks.art/Notebook/particle-lenia/
49,Techniques to beat Arrays.hashCode(byte[]) using Java's own means,https://www.dynatrace.com/news/blog/java-arrays-hashcode-byte-efficiency-techniques/
50,Voracious honey bees threaten the food supply of native pollinators,https://phys.org/news/2025-07-voracious-honey-bees-threaten-food.html
51,LookingGlass: Generative Anamorphoses via Laplacian Pyramid Warping,https://studios.disneyresearch.com/2025/06/09/lookingglass-generative-anamorphoses-via-laplacian-pyramid-warping/
52,The Miyawaki Method of micro-forestry,https://www.futureecologies.net/listen/fe-6-5-the-method
53,Why are there no good dinosaur films?,https://briannazigler.substack.com/p/why-are-there-no-good-dinosaur-films
54,When Figma starts designing us,https://designsystems.international/ideas/when-figma-starts-designing-us/
55,Adding a feature because ChatGPT incorrectly thinks it exists,https://www.holovaty.com/writing/chatgpt-fake-feature/
56,"A Comprehensive Proposal Overviewing Blocks, Nested Functions, and Lambdas for C",https://thephd.dev/_vendor/future_cxx/papers/C%20-%20Functional%20Functions.html
57,Running a Certificate Transparency log,https://words.filippo.io/run-sunlight/
58,François Chollet: The Arc Prize and How We Get to AGI [video],https://www.youtube.com/watch?v=5QcCeSsNRks
59,SIMD.info – Reference tool for C intrinsics of all major SIMD engines,https://simd.info/
60,Inertial forces (indirect terms) in problems with a central body,https://astro.theoj.org/article/141682-on-inertial-forces-indirect-terms-in-problems-with-a-central-body
61,Show HN: NYC Subway Simulator and Route Designer,https://buildmytransit.nyc
62,Solving Wordle with uv's dependency resolver,https://mildbyte.xyz/blog/solving-wordle-with-uv-dependency-resolver/
63,The chemical secrets that help keep honey fresh for so long,https://www.bbc.com/future/article/20250701-the-chemical-secrets-that-help-keep-honey-fresh-for-so-long
64,Sotheby's selling operational Apple-1 computer handmade by Steve Jobs [video],https://www.youtube.com/watch?v=XdBKuBhdZwg
65,Mercury: Ultra-fast language models based on diffusion,https://arxiv.org/abs/2506.17298
66,LLMs should not replace therapists,https://arxiv.org/abs/2504.18412
67,Ptar: Replacing .tgz for petabyte-scale S3 archives,https://plakar.io/posts/2025-06-30/technical-deep-dive-into-.ptar-replacing-.tgz-for-petabyte-scale-s3-archives/
68,I used o3 to profile myself from my saved Pocket links,https://noperator.dev/posts/o3-pocket-profile/
69,CU Randomness Beacon,https://random.colorado.edu/
70,What Microchip doesn't (officially) tell you about the VSC8512,https://serd.es/2025/07/04/Switch-project-pt3.html
71,OLMo 2 - a family of fully-open language models,https://allenai.org/olmo
72,Caching,https://planetscale.com/blog/caching
73,My first verified imperative program,https://markushimmel.de/blog/my-first-verified-imperative-program/
74,Show HN: I built a tool to solve window management,https://aboveaverageuser.com/smartswitcher
75,Bitchat – A decentralized messaging app that works over Bluetooth mesh networks,https://github.com/jackjackbits/bitchat
76,"Show HN: Sumble – knowledge graph for GTM data – query tech stack, key projects",https://sumble.com
77,Exploring Coroutines in PHP,https://doeken.org/blog/coroutines-in-php
78,Thesis: Interesting work is less amenable to the use of AI,https://remark.ing/rob/rob/Thesis-interesting-work-ie
79,"Launch HN: Morph (YC S23) – Apply AI code edits at 4,500 tokens/sec",item?id=44490863
80,"Hymn to Babylon, missing for a millennium, has been discovered",https://phys.org/news/2025-07-hymn-babylon-millennium.html
81,The era of exploration,https://yidingjiang.github.io/blog/post/exploration/
82,Product of Additive Inverses,https://susam.net/product-of-additive-inverses.html
83,"Anthropic cut up millions of used books, and downloaded 7M pirated ones – judge",https://www.businessinsider.com/anthropic-cut-pirated-millions-used-books-train-claude-copyright-2025-6
84,Backlog.md – Markdown‑native Task Manager and Kanban visualizer for any Git repo,https://github.com/MrLesk/Backlog.md
85,Firefox is fine. The people running it are not,https://www.theregister.com/2025/07/08/firefox_isnt_dead/
86,So you wanna build an aging company,https://www.librariesforthefuture.bio/p/is-this-aging
87,Show HN: From Photos to Positions: Prototyping VLM-Based Indoor Maps,https://arjo129.github.io/blog/5-7-2025-From-Photos-To-Positions-Prototyping.html
88,Analysing Roman itineraries using GIS tooling,https://link.springer.com/article/10.1007/s12520-025-02175-w
89,I extracted the safety filters from Apple Intelligence models,https://github.com/BlueFalconHD/apple_generative_model_safety_decrypted
90,Brainwash '72 [video],https://archive.org/details/Brainwash72
